,timestamp,front-end_carts,orders_carts,front-end_catalogue,unknown_front-end,front-end_orders,orders_payment,orders_shipping,front-end_user,orders_user,carts_carts-db,catalogue_catalogue-db,orders_orders-db,queue-master_rabbitmq,rabbitmq_rabbitmq,shipping_rabbitmq,user_user-db
0,2020-07-11 18:59:48,9.803921568627452,6.428571428571429,5.735294117647058,61.53061224489797,82.14285714285715,2.5,2.5,35.63829787234043,36.95652173913044,366.9658634538153,565.390562248996,0.0,0.0,0.0,0.0,103.10140562248995
1,2020-07-11 18:59:49,12.205882352941178,2.5,6.25,52.00617283950618,70.3125,2.5,2.5,54.08163265306123,34.375,119.178,508.132,0.0,0.0,0.0,0.0,283.45
2,2020-07-11 18:59:50,9.055555555555557,2.5,4.108910891089109,52.3076923076923,60.0,2.5,2.5,27.232142857142858,14.499999999999996,0.0,508.5105105105105,0.0,0.0,0.0,0.0,25.445445445445447
3,2020-07-11 18:59:51,10.401785714285715,2.6923076923076925,5.119047619047619,62.02185792349726,67.5,2.5,2.6666666666666665,9.919354838709676,5.277777777777778,21.032755298651253,649.6897880539499,0.0,0.0,0.0,0.0,251.54720616570327
4,2020-07-11 18:59:52,8.198529411764705,2.5,8.362068965517242,58.93854748603352,43.75000000000001,2.5,3.75,30.654761904761905,19.230769230769234,0.0,446.47302904564316,0.21265560165975106,0.0,0.0,0.0,0.0
5,2020-07-11 18:59:53,8.395522388059701,2.5,6.079545454545454,45.71917808219179,72.50000000000001,2.5,2.5,57.93650793650794,44.73684210526316,0.0,610.4208416833667,0.0,0.0,0.0,0.0,218.0811623246493
6,2020-07-11 18:59:54,8.013698630136986,5.9375,4.318181818181818,49.64114832535886,91.66666666666667,,2.65625,32.327586206896555,39.90384615384616,79.34365634365636,387.4135864135865,0.0,0.0,0.0,0.0,0.0
7,2020-07-11 18:59:55,7.977941176470589,3.125,4.694444444444445,50.68181818181819,68.75,2.5,2.5,25.657894736842106,56.73076923076923,0.0,711.3053053053053,0.0,42.33633633633634,0.0,0.0,0.0
8,2020-07-11 18:59:56,7.8164556962025316,2.5,5.809859154929578,62.037037037037045,73.21428571428572,2.6785714285714284,2.5,30.26315789473684,40.78947368421053,100.36742800397221,427.80933465739827,9.652432969215493,0.0,0.0,0.0,0.0
9,2020-07-11 18:59:57,8.507462686567164,2.6785714285714284,4.362244897959185,46.24352331606218,86.11111111111111,2.625,3.0882352941176467,14.431818181818182,8.035714285714285,91.1961961961962,543.039039039039,0.0,0.0,0.0,0.0,143.1061061061061
10,2020-07-11 18:59:58,8.4375,2.857142857142857,5.637254901960784,53.6111111111111,70.83333333333333,2.7941176470588243,2.5,30.90277777777778,27.604166666666664,364.02713567839197,597.8452261306533,0.0,0.0,0.0,0.0,83.25226130653266
11,2020-07-11 18:59:59,8.8,2.5,4.969135802469137,58.55018587360595,137.5,2.5,2.5,26.85185185185185,20.000000000000004,105.76576576576576,145.5095095095095,0.0,0.0,0.0,0.0,291.01001001001003
12,2020-07-11 19:00:00,8.544776119402984,2.631578947368421,4.206730769230769,50.438596491228076,90.9090909090909,3.6666666666666665,2.738095238095238,23.88888888888889,18.18181818181818,0.0,722.118,0.0,0.0,0.0,0.0,30.873
13,2020-07-11 19:00:01,8.5546875,2.5,4.103773584905661,58.540925266903926,70.83333333333333,2.5,2.5,29.054054054054056,37.50000000000001,70.1858141858142,281.0099900099901,0.0,0.0,0.0,0.0,202.1668331668332
14,2020-07-11 19:00:02,8.318965517241379,2.5,4.318181818181818,54.0,75.00000000000001,2.5,2.5,24.659090909090907,25.0,0.0,660.0370689655173,0.1767241379310345,0.0,0.0,0.0,0.0
15,2020-07-11 19:00:03,14.25,,6.666666666666666,468.2203389830508,43.75000000000001,,,27.403846153846153,,0.0,144.34669811320757,0.0,0.0,0.0,0.0,210.47051886792454
16,2020-07-11 19:00:04,21.363636363636367,3.4722222222222228,15.19230769230769,757.4257425742575,132.8125,2.8409090909090913,2.604166666666667,29.310344827586206,20.78125,8.814414414414413,126.39549549549548,0.0,0.0,0.0,0.0,0.0
17,2020-07-11 19:00:05,,,134.6153846153846,227.61194029850748,,,,23.92857142857143,30.0,0.0,185.96871508379888,0.0,38.63687150837989,0.0,0.0,0.0
18,2020-07-11 19:00:06,14.029850746268657,4.166666666666667,8.026315789473683,71.34146341463415,87.50000000000001,3.333333333333333,2.5,56.896551724137936,31.94444444444445,109.04,237.452,7.98,0.0,0.0,0.0,0.0
19,2020-07-11 19:00:07,9.313725490196079,3.333333333333334,12.307692307692308,75.94142259414227,,,2.5,46.98275862068965,45.833333333333336,115.22478386167147,419.1777137367916,0.0,0.0,0.0,0.0,100.73967339097022
20,2020-07-11 19:00:08,8.898305084745763,2.5,18.152173913043473,102.79069767441862,90.0,3.1578947368421053,2.5,24.318181818181824,50.0,274.58518518518525,409.76507936507943,0.0,0.0,0.0,0.0,91.71005291005291
21,2020-07-11 19:00:09,12.837837837837839,2.884615384615384,10.208333333333334,76.10837438423646,80.76923076923077,2.5,2.5,25.0,29.807692307692314,97.96403596403599,398.3536463536464,0.0,0.0,0.0,0.0,278.83916083916085
22,2020-07-11 19:00:10,7.391304347826087,2.5,16.6,64.9171270718232,75.00000000000001,2.638888888888889,2.5,26.47058823529412,31.547619047619047,0.0,355.34,0.0,0.0,0.02,0.0,47.79
23,2020-07-11 19:00:11,8.524590163934425,2.5,13.055555555555555,88.37209302325583,62.500000000000014,3.75,2.5,20.760869565217387,7.25,57.68774703557312,348.9268774703557,0.0,0.0,0.0,0.0,185.94466403162053
