,timestamp,carts,catalogue,orders,payment,shipping,user,carts-db,carts-db-cfd5cfc74,catalogue-db,catalogue-db-7c6c54f454,orders-db,orders-db-57754d868b,rabbitmq,rabbitmq-7d49f9f995,user-db,user-db-77bcd55dc4
0,2020-07-11 15:55:21,47.0576923076923,39.50000000000005,247.62499999999997,,,47.89285714285715,0.0,0.0,679.7556468172485,0.0,0.0,0.0,0.0,0.0,332.2669404517454,0.0
1,2020-07-11 15:55:22,47.0576923076923,39.50000000000005,247.62499999999997,,,47.89285714285715,0.0,0.0,679.7556468172485,0.0,0.0,0.0,0.0,0.0,332.2669404517454,0.0
2,2020-07-11 15:55:23,47.91071428571429,43.79166666666666,248.16666666666666,9.633333333333331,94.49999999999997,45.375,7.355065195586761,0.0,553.6990972918757,0.0,0.0,0.0,0.00802407221664995,0.0,0.0,0.0
3,2020-07-11 15:55:24,47.91071428571429,43.79166666666666,248.16666666666666,9.633333333333331,94.49999999999997,45.375,7.355065195586761,0.0,553.6990972918757,0.0,0.0,0.0,0.00802407221664995,0.0,0.0,0.0
4,2020-07-11 15:55:25,93.27777777777781,47.16071428571428,237.25000000000003,4.95,9.833333333333332,194.49999999999946,0.0,0.0,466.2742742742743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-07-11 15:55:26,93.27777777777781,47.16071428571428,237.25000000000003,4.95,9.833333333333332,194.49999999999946,0.0,0.0,466.2742742742743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-07-11 15:55:27,82.24999999999993,236.79999999999998,99.20000000000002,4.95,4.95,91.22222222222213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.02189054726375,0.0
7,2020-07-11 15:55:28,47.73437499999998,47.96052631578947,236.49999999999994,94.75,8.95,39.93749999999997,0.0,0.0,447.11434302908725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-07-11 15:55:29,38.16666666666667,43.625000000000014,242.875,4.95,90.50000000000001,36.5,0.0,0.0,603.4214214214214,0.0,0.0,0.0,0.0,0.0,290.7207207207207,0.0
9,2020-07-11 15:55:30,38.16666666666667,43.625000000000014,242.875,4.95,90.50000000000001,36.5,0.0,0.0,603.4214214214214,0.0,0.0,0.0,0.0,0.0,290.7207207207207,0.0
10,2020-07-11 15:55:31,90.50000000000001,47.92500000000001,238.00000000000006,4.95,95.50000000000004,24.85000000000001,0.0,0.0,346.1196834817013,0.0,0.2027695351137488,0.0,0.0,0.0,0.0,0.0
11,2020-07-11 15:55:32,235.27272727272722,96.5625,243.50000000000003,23.49999999999999,97.0,94.79166666666664,0.0,0.0,573.7620967741935,0.0,0.0,0.0,0.0,0.0,197.83770161290323,0.0
