,timestamp,front-end_carts,orders_carts,front-end_catalogue,front-end_orders,orders_payment,orders_shipping,front-end_user,orders_user,carts_carts-db,carts-5fd657685b_carts-db-cfd5cfc74,catalogue_catalogue-db,catalogue-6786c4d99b_catalogue-db-7c6c54f454,orders_orders-db,orders_orders-db-57754d868b,orders-d99bfcf55_orders-db-57754d868b,queue-master_rabbitmq,shipping_rabbitmq,queue-master-56db5dfc67_rabbitmq-7d49f9f995,shipping-7d94dd67dd_rabbitmq-7d49f9f995,user_user-db,user-5f4b89b8cb_user-db-77bcd55dc4
0,2020-07-11 15:55:21,35.28846153846153,,23.981481481481485,238.125,,,39.46428571428571,,0.0,0.0,679.7556468172485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.2669404517454,0.0
1,2020-07-11 15:55:22,35.28846153846153,,23.981481481481485,238.125,,,39.46428571428571,,0.0,0.0,679.7556468172485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.2669404517454,0.0
2,2020-07-11 15:55:23,41.51785714285713,19.500000000000004,24.649193548387096,240.83333333333334,8.166666666666668,72.50000000000001,38.74999999999999,23.67307692307692,7.355065195586761,0.0,553.6990972918757,0.0,0.0,0.0,0.0,0.0,0.00802407221664995,0.0,0.0,0.0,0.0
3,2020-07-11 15:55:24,41.51785714285713,19.500000000000004,24.649193548387096,240.83333333333334,8.166666666666668,72.50000000000001,38.74999999999999,23.67307692307692,7.355065195586761,0.0,553.6990972918757,0.0,0.0,0.0,0.0,0.0,0.00802407221664995,0.0,0.0,0.0,0.0
4,2020-07-11 15:55:25,70.55555555555557,21.249999999999993,35.8035714285714,186.25000000000009,4.750000000000001,9.166666666666666,96.72413793103448,24.583333333333332,0.0,0.0,466.2742742742743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-07-11 15:55:26,70.55555555555557,21.249999999999993,35.8035714285714,186.25000000000009,4.750000000000001,9.166666666666666,96.72413793103448,24.583333333333332,0.0,0.0,466.2742742742743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-07-11 15:55:27,24.9758064516129,21.062499999999996,183.99999999999983,96.0,4.75,4.75,60.416666666666664,49.24999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.02189054726375,0.0
7,2020-07-11 15:55:28,40.23437499999998,9.0,39.80263157894736,182.5,73.74999999999997,4.9875,24.5875,13.937499999999993,0.0,0.0,447.11434302908725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-07-11 15:55:29,23.75657894736842,5.25,24.625,214.375,4.750000000000001,52.50000000000001,23.068181818181813,23.937499999999996,0.0,0.0,603.4214214214214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.7207207207207,0.0
9,2020-07-11 15:55:30,23.75657894736842,5.25,24.625,214.375,4.750000000000001,52.50000000000001,23.068181818181813,23.937499999999996,0.0,0.0,603.4214214214214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.7207207207207,0.0
