,timestamp,carts,catalogue,front-end,orders,payment,shipping,user,carts-db,carts-db-cfd5cfc74,catalogue-db,catalogue-db-7c6c54f454,orders-db,orders-db-57754d868b,rabbitmq,rabbitmq-7d49f9f995,user-db,user-db-77bcd55dc4
0,2020-07-11 15:55:21,24.231250000000003,24.002173913043475,424.9999999999997,49.62500000000001,,4.949999999999999,23.77272727272728,0.0,0.0,787.3542094455853,0.0,0.0,0.0,0.0,0.0,332.2669404517454,0.0
1,2020-07-11 15:55:22,24.231250000000003,24.002173913043475,424.9999999999997,49.62500000000001,,4.949999999999999,23.77272727272728,0.0,0.0,787.3542094455853,0.0,0.0,0.0,0.0,0.0,332.2669404517454,0.0
2,2020-07-11 15:55:23,24.06875,24.71451612903225,483.3333333333333,247.79999999999998,4.949999999999999,94.49999999999997,41.58333333333338,7.355065195586761,0.0,471.10932798395186,0.0,0.0,0.0,40.56168505516549,0.0,0.0,0.0
3,2020-07-11 15:55:24,24.06875,24.71451612903225,483.3333333333333,247.79999999999998,4.949999999999999,94.49999999999997,41.58333333333338,7.355065195586761,0.0,471.10932798395186,0.0,0.0,0.0,40.56168505516549,0.0,0.0,0.0
4,2020-07-11 15:55:25,34.624999999999964,24.146551724137925,451.38888888888886,235.75000000000003,22.150000000000002,9.05,98.70312500000003,0.0,0.0,758.6986986986986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-07-11 15:55:26,34.624999999999964,24.146551724137925,451.38888888888886,235.75000000000003,22.150000000000002,9.05,98.70312500000003,0.0,0.0,758.6986986986986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-07-11 15:55:27,24.021052631578943,234.20588235294107,230.26315789473665,98.68750000000001,4.95,4.95,92.66666666666669,0.0,0.0,386.26467661691544,0.0,0.0,0.0,0.0,0.0,467.02189054726375,0.0
7,2020-07-11 15:55:28,23.978571428571428,24.019230769230766,437.4999999999995,234.24999999999997,95.25000000000004,4.95,23.049999999999994,0.0,0.0,558.9067201604814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-07-11 15:55:29,19.937499999999986,24.272727272727273,340.90909090908997,240.5,4.95,91.5,24.18275862068965,0.0,0.0,649.4074074074074,0.0,0.0,0.0,0.0,0.0,290.7207207207207,0.0
9,2020-07-11 15:55:30,19.937499999999986,24.272727272727273,340.90909090908997,240.5,4.95,91.5,24.18275862068965,0.0,0.0,649.4074074074074,0.0,0.0,0.0,0.0,0.0,290.7207207207207,0.0
10,2020-07-11 15:55:31,95.03124999999996,23.92272727272726,248.0392156862745,234.25000000000009,,4.95,22.85000000000001,0.0,0.0,219.86745796241345,0.0,0.2027695351137488,0.0,0.0,0.0,0.0,0.0
11,2020-07-11 15:55:32,228.1666666666668,95.84374999999999,460.3571428571428,,21.99999999999998,98.16666666666667,91.68749999999997,0.0,0.0,433.46270161290323,0.0,0.0,0.0,0.0,0.0,197.83770161290323,0.0
12,2020-07-11 15:55:33,24.12045454545455,24.465217391304346,249.7243243243243,244.75,45.00000000000001,96.0,36.187499999999936,0.0,0.0,530.9539539539539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-07-11 15:55:34,23.981578947368423,99.03333333333329,281.25000000000176,235.74999999999997,95.24999999999999,45.75000000000003,22.949999999999992,10.453093812375249,0.0,396.0039920159681,0.0,0.0,0.0,42.4750499001996,0.0,0.0,0.0
14,2020-07-11 15:55:35,24.591666666666672,80.49999999999957,407.89473684210463,242.12499999999994,89.49999999999993,8.949999999999992,24.76521739130436,367.90119760479047,0.0,414.065868263473,0.0,9.580838323353293,0.0,0.0,0.0,0.0,0.0
15,2020-07-11 15:55:36,24.621428571428574,89.62500000000006,460.2272727272726,246.43749999999997,96.5,90.49999999999991,23.35000000000001,0.0,0.0,620.3995983935744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-07-11 15:55:37,87.72222222222213,23.743103448275864,243.7977528089888,98.25,4.95,44.75,23.69,417.14357429718876,0.0,517.785140562249,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-07-11 15:55:38,87.72222222222213,23.743103448275864,243.7977528089888,98.25,4.95,44.75,23.69,417.14357429718876,0.0,517.785140562249,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-07-11 15:55:39,24.339062500000004,23.814999999999994,346.1538461538445,241.37500000000003,4.95,97.25000000000001,24.283870967741933,0.0,0.0,501.95791583166334,0.0,0.0,0.0,0.0,0.0,438.12525050100203,0.0
19,2020-07-11 15:55:40,23.66666666666667,59.749999999999666,244.18604651162792,49.333333333333336,4.95,24.100000000000005,20.199999999999996,0.0,0.0,597.676,0.0,0.205,0.0,0.0,0.0,0.0,0.0
20,2020-07-11 15:55:41,24.523076923076925,63.25000000000003,250.0,96.49999999999999,4.949999999999999,,23.957142857142856,0.0,0.0,545.315,0.0,0.0,0.0,0.0,0.0,170.688,0.0
21,2020-07-11 15:55:42,183.24999999999997,60.499999999999694,446.4285714285714,240.00000000000006,97.9,23.424999999999994,95.75000000000003,0.0,0.0,153.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-07-11 15:55:43,183.24999999999997,60.499999999999694,446.4285714285714,240.00000000000006,97.9,23.424999999999994,95.75000000000003,0.0,0.0,153.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-07-11 15:55:44,38.75000000000005,98.37500000000001,423.9130434782607,247.15,96.33333333333336,4.95,90.81249999999999,51.86935166994106,0.0,579.5196463654224,0.0,0.0,0.0,42.59135559921415,0.0,0.0,0.0
