,timestamp,front-end_carts,orders_carts,front-end_catalogue,front-end_orders,orders_payment,orders_shipping,front-end_user,orders_user,carts_carts-db,carts-5fd657685b_carts-db-cfd5cfc74,catalogue_catalogue-db,catalogue-6786c4d99b_catalogue-db-7c6c54f454,orders_orders-db,orders-d99bfcf55_orders-db-57754d868b,queue-master_rabbitmq,shipping_rabbitmq,queue-master-56db5dfc67_rabbitmq-7d49f9f995,shipping-7d94dd67dd_rabbitmq-7d49f9f995,user_user-db,user_user-db-77bcd55dc4,user-5f4b89b8cb_user-db-77bcd55dc4
0,2020-05-11 09:36:11,9295.081967213115,,9.635869565217392,,,,22.392045454545457,51.935483870967744,0.04101640656262505,0.0,455.52160864345734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.79971988795518,0.0,0.0
1,2020-05-11 09:36:16,2146.350364963504,9161.290322580644,17.835526315789476,9500.0,22.789473684210527,2350.0,42.05357142857144,20.687500000000004,124.5835325740364,0.0,503.2781834667546,0.0,0.020475429484618456,0.0,0.0,0.0,0.0,0.0,65.52850556922729,0.0,0.0
2,2020-05-11 09:36:21,1310.7142857142858,1920.0,19.708588957055213,8260.000000000002,4.573770491803279,65.55555555555556,48.046875,23.875000000000007,83.0693687297046,0.0,529.7341376598519,0.0,0.013650286323078971,0.0,0.0,0.0,0.0,0.0,96.33558696273478,0.0,0.0
3,2020-05-11 09:36:26,419.61206896551727,239.28571428571428,23.482248520710062,2340.0,4.891304347826086,25.0,38.86986301369864,25.89285714285715,148.5223206060902,0.0,504.28625037431476,0.0,3.6536163904774566,0.0,1.4100820164032808,0.06806361272254452,0.0,0.0,72.25169022205108,0.0,0.0
4,2020-05-11 09:36:31,229.075,182.5,22.314371257485046,1611.5384615384621,66.36363636363637,23.363636363636374,46.875000000000014,28.33333333333332,118.82605648487217,0.0,506.56196029945187,0.0,2.9228931123819653,0.0,1.1280656131226245,0.054450890178035616,0.0,0.0,111.47167217764085,0.0,0.0
5,2020-05-11 09:36:36,241.33928571428578,160.00000000000003,21.897142857142864,897.2972972972973,4.8500000000000005,70.0,45.53571428571431,22.535714285714292,154.01938040406014,0.0,506.5825669162098,0.0,2.714577593651638,0.0,2.6867880109355204,0.04537574181502968,0.0,0.0,93.01636014803404,0.0,0.0
6,2020-05-11 09:36:41,229.23076923076925,46.40624999999999,22.15606936416185,406.94444444444446,4.640625,24.099999999999998,60.108695652173985,22.720000000000006,132.02246891776585,0.0,511.0440002138942,0.0,2.326780794558547,0.0,2.302961152230446,0.038893492984311155,0.0,0.0,125.64682298402919,0.0,0.0
7,2020-05-11 09:36:46,221.34482758620695,177.64705882352936,23.595121951219525,879.7297297297297,4.875000000000001,15.571428571428598,47.232142857142875,34.71590909090908,167.42193530304513,0.0,507.2736501871574,0.0,2.3200581952387282,0.0,3.25864100820164,0.03403180636127226,0.0,0.0,111.29757011102554,0.0,0.0
8,2020-05-11 09:36:51,146.79104477611946,61.874999999999986,22.916666666666668,722.2222222222223,10.749999999999988,32.88461538461539,37.67857142857143,23.053719008264466,148.82405360270678,0.0,504.7544223885843,0.0,2.062273951323314,0.0,2.8965697850681247,0.03025049454335312,0.0,0.0,133.0007956542449,0.0,0.0
9,2020-05-11 09:36:56,97.56756756756758,22.375000000000004,39.4718309859155,414.2857142857144,4.591836734693877,21.999999999999844,39.31318681318682,23.443925233644865,176.7931082424361,0.0,504.81840014972585,0.0,2.0953465561909828,0.0,3.4581128065613123,0.027225445089017808,0.0,0.0,120.06435608882043,0.0,0.0
10,2020-05-11 09:37:01,91.31818181818184,43.863636363636374,19.045000000000012,162.30769230769238,4.5,9.500000000000004,26.519607843137234,22.110526315789475,160.724734765851,0.0,499.6001819542962,0.0,1.904860505628166,0.0,3.143738915055738,0.024750404626379827,0.0,0.0,137.14045098983675,0.0,0.0
11,2020-05-11 09:37:06,89.63414634146342,95.41666666666667,19.392156862745093,272.50000000000017,4.685567010309279,9.375000000000009,24.701612903225808,20.53846153846154,182.21810794138648,0.0,504.9408823620958,0.0,1.9454192185727708,0.0,3.7324502583826784,0.02268787090751484,0.0,0.0,125.71208007401702,0.0,0.0
12,2020-05-11 09:37:11,82.08333333333334,65.7692307692308,24.41776315789474,174.06250000000003,4.592783505154639,6.250000000000008,23.707831325301207,20.040000000000003,182.21810794138648,0.0,512.5405889113821,0.0,1.9454192185727708,0.0,3.7324502583826784,0.02268787090751484,0.0,0.0,145.3772628137796,0.0,0.0
13,2020-05-11 09:37:16,59.000000000000036,22.999999999999993,24.80405405405406,215.62499999999997,4.73936170212766,4.95,23.93518518518519,20.380000000000003,194.78632146940933,0.0,504.9351295664419,0.0,2.134384838020462,0.0,4.614507180331622,0.02268787090751484,0.0,0.0,144.52248854290465,0.0,0.0
14,2020-05-11 09:37:21,187.39130434782615,85.00000000000001,21.58078602620088,215.11627906976747,10.74999999999998,8.599999999999996,36.96969696969697,22.574074074074076,194.78631941653612,0.0,500.1830964508934,0.0,2.134384838020462,0.0,4.614507180331622,0.02268787090751484,0.0,0.0,159.9541970721622,0.0,0.0
15,2020-05-11 09:37:26,46.52173913043478,20.178571428571438,17.542452830188694,246.7857142857143,24.00000000000002,4.987951807228915,23.686635944700463,22.451612903225808,200.42278806359886,0.0,502.0838140744181,0.0,1.1023419461087463,0.0,5.004546508197195,0.00013333333333333253,0.0,0.0,159.9541970721622,0.0,0.0
