,timestamp,carts,catalogue,orders,payment,shipping,user,carts-db,catalogue-db,orders-db,rabbitmq,user-db
0,2020-07-12 06:40:59,9.606060606060606,4.96875,72.50000000000001,4.500000000000001,37.50000000000001,50.0,0.0,0.0,0.0,0.0,0.0
1,2020-07-12 06:41:00,9.728813559322035,7.571428571428571,40.0,4.500000000000001,4.500000000000001,9.596153846153848,0.0,0.0,0.0,0.008008008008008008,0.25825825825825827
2,2020-07-12 06:41:01,23.50000000000001,13.450000000000014,90.00000000000001,4.500000000000001,4.500000000000001,9.916666666666668,0.0,0.0,0.0,0.0,0.0
3,2020-07-12 06:41:02,21.1,9.428571428571429,60.00000000000004,4.500000000000001,13.00000000000001,18.423076923076923,0.205,0.0,0.0,0.0,0.0
4,2020-07-12 06:41:03,24.97413793103448,42.95454545454551,219.99999999999997,4.500000000000001,67.50000000000001,24.351351351351358,0.0,0.0,0.0,0.0,0.0
5,2020-07-12 06:41:04,47.282608695652186,20.87500000000001,70.00000000000001,55.00000000000006,4.725,35.73529411764706,0.0,0.0,0.0,0.0,0.0
6,2020-07-12 06:41:05,45.75,23.28947368421053,100.0,4.500000000000001,17.5,30.95238095238096,0.0,0.0,0.205,0.0,0.0
7,2020-07-12 06:41:06,177.14285714285717,35.000000000000014,90.50000000000001,,4.500000000000001,63.75000000000004,0.0,0.0,0.0,0.0,0.0
8,2020-07-12 06:41:07,40.30000000000001,36.08695652173913,199.0,4.500000000000001,4.500000000000001,51.81818181818179,0.0,0.0,0.0,0.0,0.0
9,2020-07-12 06:41:08,26.874999999999996,32.307692307692314,90.00000000000001,43.333333333333336,55.00000000000001,24.142857142857146,0.0,0.0,0.0,0.0,0.0
10,2020-07-12 06:41:09,39.63414634146341,43.36206896551725,190.0,4.500000000000001,9.000000000000002,42.36486486486486,0.0,0.0,0.0,0.0,0.0
11,2020-07-12 06:41:10,79.50000000000003,41.25000000000001,186.25000000000003,5.499999999999995,77.5,44.56730769230771,0.0,0.0,0.0,0.0,0.0
12,2020-07-12 06:41:11,37.934782608695656,24.48684210526316,140.0,4.95,72.50000000000001,53.3333333333333,0.0,0.0,0.0,0.0,0.0
13,2020-07-12 06:41:12,193.07692307692304,85.00000000000003,93.75,,,41.0294117647059,0.205,0.0,0.0,0.0,0.0
14,2020-07-12 06:41:13,131.87500000000009,23.23417721518987,107.50000000000023,55.000000000000064,27.500000000000032,34.64285714285715,0.0,0.0,0.0,0.0,0.0
15,2020-07-12 06:41:14,25.937499999999975,21.682692307692314,88.57142857142858,4.500000000000001,16.000000000000007,39.482758620689665,0.0,0.0,0.0,0.0,0.0
16,2020-07-12 06:41:15,46.29464285714286,45.41666666666667,,,,46.69117647058824,0.0,0.0,0.205,0.0,0.0
17,2020-07-12 06:41:16,48.7962962962963,83.75,175.00000000000009,4.736842105263158,66.66666666666671,23.556603773584904,0.0,0.0,0.0,0.0,0.0
18,2020-07-12 06:41:17,46.12903225806452,49.130434782608724,209.2857142857143,,,80.90909090909092,0.0,0.0,0.0,0.0,0.0
19,2020-07-12 06:41:18,51.49999999999997,55.55555555555556,95.83333333333334,80.0,5.0,46.764705882352956,0.0,0.0,0.0,0.0,0.0
20,2020-07-12 06:41:19,76.03448275862068,22.780821917808225,219.99999999999997,4.7368421052631575,4.500000000000001,35.086206896551744,0.0,0.0,0.0,0.0,0.0
21,2020-07-12 06:41:20,59.2857142857143,33.33333333333334,137.49999999999991,49.16666666666668,7.250000000000003,48.57142857142857,0.0,0.0,0.0,0.0,0.053
22,2020-07-12 06:41:21,36.59090909090909,24.457446808510642,467.85714285714283,,,71.81818181818183,0.0,0.0,0.0,0.0,0.0
23,2020-07-12 06:41:22,81.35135135135135,93.18181818181819,450.0,93.21428571428572,55.00000000000001,220.0,0.205,0.0,0.0,0.0,0.0
24,2020-07-12 06:41:23,23.114285714285725,21.97058823529412,240.83333333333334,4.973684210526317,93.12500000000001,222.49999999999997,0.0,0.0,0.0,0.0,0.0
25,2020-07-12 06:41:24,40.725806451612904,88.00000000000003,95.0,82.00000000000001,82.00000000000001,53.33333333333334,0.0,0.0,0.0,0.0,0.0
26,2020-07-12 06:41:25,23.28333333333334,75.00000000000003,216.25,87.50000000000003,5.0,24.123076923076923,0.0,0.0,0.205,0.0,0.0
27,2020-07-12 06:41:26,47.631578947368425,85.3488372093023,87.00000000000001,4.875,4.875,38.71212121212121,0.0,0.0,0.0,0.0,0.0
28,2020-07-12 06:41:27,35.31250000000001,216.66666666666669,222.72727272727272,,,45.51724137931035,0.0,0.0,0.0,0.0,0.0
29,2020-07-12 06:41:28,43.5,41.0416666666667,48.214285714285715,175.0,8.0,44.09090909090911,0.0,0.0,0.0,0.0,0.0
30,2020-07-12 06:41:29,21.798076923076923,23.84285714285715,45.833333333333336,4.500000000000001,4.500000000000001,22.542553191489358,0.0,0.0,0.0,0.0,0.0
31,2020-07-12 06:41:30,38.99999999999999,38.97058823529414,213.57142857142858,,,24.464285714285715,0.0,0.0,0.0,0.0,0.258
32,2020-07-12 06:41:31,32.30769230769229,65.7692307692308,85.71428571428572,17.499999999999975,4.891304347826086,64.6153846153846,0.0,0.0,0.0,0.0,0.0
33,2020-07-12 06:41:32,23.5,63.8095238095238,47.5,4.500000000000001,4.821428571428572,38.87499999999999,0.205,0.0,0.0,0.0,0.0
34,2020-07-12 06:41:33,24.71551724137932,42.18750000000001,220.0,5.5,53.333333333333336,80.0,0.0,0.0,0.0,0.0,0.0
