,source,destination,weight
0,user,user-db,1
1,carts,carts-db,1
2,catalogue,catalogue-db,1
3,orders,orders-db,1
4,orders,payment,1
5,orders,shipping,1
6,front-end,user,1
7,front-end,carts,1
8,front-end,catalogue,1
9,unknown,front-end,1
10,front-end,orders,1
11,orders,user,1
12,orders,carts,1
13,carts-db,kubernetes-minion-group-5rnc,1
14,catalogue-db,kubernetes-minion-group-6fdx,1
15,user-db,kubernetes-minion-group-7k49,1
16,catalogue,kubernetes-minion-group-6fdx,1
17,front-end,kubernetes-minion-group-3sk9,1
18,payment,kubernetes-minion-group-6fdx,1
19,queue-master,kubernetes-minion-group-7k49,1
20,orders,kubernetes-minion-group-7k49,1
21,rabbitmq,kubernetes-minion-group-5rnc,1
22,carts,kubernetes-minion-group-7k49,1
23,orders-db,kubernetes-minion-group-6fdx,1
24,shipping,kubernetes-minion-group-5rnc,1
25,user,kubernetes-minion-group-6fdx,1
