,timestamp,ctn_cpu,ctn_network,ctn_memory,node_cpu,node_network,node_memory
0,2019-09-17 16:17:34,0.13539861183566232,0.6367902208480392,13016.496354721792,0.2584278856644141,1.857735108007855,0.09671332722044579
1,2019-09-17 16:17:39,0.13539861183566232,0.6367902208480392,13016.831018534152,0.2613995854696188,1.8449692738445875,0.09689437605687579
2,2019-09-17 16:17:44,0.10742375420139406,0.450783364078739,15790.333493958518,0.2588322999436305,1.8274451333709112,0.09666007756267225
3,2019-09-17 16:17:49,0.13626067931238584,0.6474724641743869,25890.661872748806,0.2635047909962021,1.8237786141566212,0.09690216868972079
4,2019-09-17 16:17:54,0.13626067931238584,0.6474724641743872,22518.515479821453,0.2593902261653674,1.839938913533561,0.09657461835580639
5,2019-09-17 16:17:59,0.13626067931238584,0.6643412698154857,22518.6356379705,0.2574451838115008,1.8515872150103632,0.096905805251715
6,2019-09-17 16:18:04,0.136203885070016,0.6643412698154857,20123.376253002843,0.2666866670303105,1.8601610938380697,0.09650734195891209
7,2019-09-17 16:18:09,0.136203885070016,0.6367190414057062,15944.877781970732,0.26177272727272693,1.857381818181818,0.09681618997399855
8,2019-09-17 16:18:14,0.1357777848513835,0.6367190414057062,17793.346773626337,0.26422727272727264,1.8285090909090906,0.09685645191036396
9,2019-09-17 16:18:19,0.137650299664379,0.6493127232994458,17275.634619348828,0.2631889906922628,1.8299883653286795,0.096869179877344
10,2019-09-17 16:18:24,0.137650299664379,0.6493127232994458,16896.08444374439,0.2623947784666297,1.82048251913532,0.09684813976866269
11,2019-09-17 16:18:29,0.1351512922467179,0.63079895523432,20090.332764363648,0.25932289677994225,1.8346697212676595,0.09687619324690433
12,2019-09-17 16:18:34,0.13585051874196838,0.63079895523432,17964.969806166402,0.26060038546856323,1.7904832903014656,0.09677800607305853
13,2019-09-17 16:18:39,0.13585051874196838,0.63079895523432,22051.128538577133,0.257222595952802,1.7970582353048126,0.0969556781019224
14,2019-09-17 16:18:44,0.13585051874196838,0.63079895523432,24801.010226279515,0.2600767230878317,1.8469174408668618,0.09635694414500529
15,2019-09-17 16:18:49,0.13971820716479205,0.4759060205586901,31835.037115532235,0.26811040802967606,1.8416066623027132,0.09644552040500909
16,2019-09-17 16:18:54,0.14096203407965566,0.6466725481411438,25994.279453890587,0.26285407803352834,1.804770735609614,0.09624421072318234
17,2019-09-17 16:18:59,0.14096203407965566,0.6466725481411438,25479.11465541089,0.2616960925141338,1.8221721184791897,0.09618862327555533
18,2019-09-17 16:19:04,0.1352357358883704,0.6345364252772194,25238.51211542551,0.2675308619529866,1.7809937639765105,0.09669981999018129
19,2019-09-17 16:19:09,0.13523573588837037,0.6200987583457721,23201.668392819993,0.2646411752940959,1.7958326515027547,0.09624369121432597
20,2019-09-17 16:19:14,0.13523573588837037,0.6200987583457721,25741.547141090447,0.2578102269420993,1.782768402676753,0.09647383363767892
21,2019-09-17 16:19:19,0.13550344866616246,0.6326270325268831,29509.584067233583,0.26209090909091104,1.8339272727272726,0.09626343255086645
22,2019-09-17 16:19:24,0.13550344866616246,0.6326270325268831,29247.22209349476,0.2644855735141701,1.7734850826318567,0.09635486610958
23,2019-09-17 16:19:29,0.13545366484135626,0.6251298585140898,23913.083784935727,0.2668490809592216,1.8101921713361089,0.0964260388228968
24,2019-09-17 16:19:34,0.11053149274158595,0.6345647804436396,21291.054703727677,0.26155021000381706,1.835069728540519,0.0961831684325638
25,2019-09-17 16:19:39,0.13207558953046847,0.6345647804436397,27179.646968095483,0.26225619399051,1.8061185537963753,0.09647357388325073
26,2019-09-17 16:19:44,0.13369431731189269,0.6345647804436397,29166.79731943199,0.25476809512554455,1.778858566207887,0.09658708656835824
27,2019-09-17 16:19:49,0.13369431731189269,0.6476277977636972,27129.480810300403,0.26383257268578325,1.831299889084859,0.09625589967244963
28,2019-09-17 16:19:54,0.1375693398335281,0.6476277977636972,19706.053856103426,0.26128222844467236,1.8100112731372053,0.09614446502276752
29,2019-09-17 16:19:59,0.11001267251665207,0.6476277977636972,17075.93587215294,0.25705947597141543,1.8411367892794153,0.09639642681808613
30,2019-09-17 16:20:04,0.1336882459966887,0.6256186382622397,12363.571317720694,0.25986836124293156,1.8432516954853724,0.0963990243623678
