,source,destination,weight
0,catalogue,catalogue-db,1
1,orders,orders-db,1
2,user,user-db,1
3,carts,carts-db,1
4,unknown,front-end,1
5,orders,payment,1
6,orders,shipping,1
7,front-end,user,1
8,orders,user,1
9,orders,carts,1
10,front-end,catalogue,1
11,front-end,orders,1
12,front-end,carts,1
13,orders,kubernetes-minion-group-jp77,1
14,rabbitmq,kubernetes-minion-group-kgf5,1
15,front-end,kubernetes-minion-group-29kq,1
16,carts,kubernetes-minion-group-kgf5,1
17,catalogue,kubernetes-minion-group-gklh,1
18,shipping,kubernetes-minion-group-gklh,1
19,carts-db,kubernetes-minion-group-kgf5,1
20,payment,kubernetes-minion-group-gklh,1
21,queue-master,kubernetes-minion-group-kgf5,1
22,user,kubernetes-minion-group-jp77,1
23,user-db,kubernetes-minion-group-jp77,1
24,catalogue-db,kubernetes-minion-group-gklh,1
25,orders-db,kubernetes-minion-group-jp77,1
