,source,destination,weight
0,orders,orders-db,1
1,user,user-db,1
2,carts,carts-db,1
3,catalogue,catalogue-db,1
4,front-end,carts,1
5,front-end,user,1
6,orders,user,1
7,orders,carts,1
8,front-end,catalogue,1
9,unknown,front-end,1
10,front-end,orders,1
11,orders,payment,1
12,orders,shipping,1
13,carts-db,kubernetes-minion-group-r23j,1
14,orders,kubernetes-minion-group-kvcr,1
15,payment,kubernetes-minion-group-k2nz,1
16,queue-master,kubernetes-minion-group-r23j,1
17,user,kubernetes-minion-group-kvcr,1
18,catalogue-db,kubernetes-minion-group-k2nz,1
19,front-end,kubernetes-minion-group-103j,1
20,orders-db,kubernetes-minion-group-kvcr,1
21,shipping,kubernetes-minion-group-k2nz,1
22,carts,kubernetes-minion-group-r23j,1
23,catalogue,kubernetes-minion-group-k2nz,1
24,rabbitmq,kubernetes-minion-group-r23j,1
25,user-db,kubernetes-minion-group-kvcr,1
