,source,destination,weight
0,orders,orders-db,1
1,user,user-db,1
2,carts,carts-db,1
3,catalogue,catalogue-db,1
4,front-end,user,1
5,unknown,front-end,1
6,front-end,carts,1
7,front-end,catalogue,1
8,front-end,orders,1
9,orders,payment,1
10,orders,shipping,1
11,orders,user,1
12,orders,carts,1
13,carts-db,kubernetes-minion-group-5rnc,1
14,orders-db,kubernetes-minion-group-6fdx,1
15,rabbitmq,kubernetes-minion-group-3sk9,1
16,user,kubernetes-minion-group-5rnc,1
17,user-db,kubernetes-minion-group-5rnc,1
18,catalogue,kubernetes-minion-group-6fdx,1
19,catalogue-db,kubernetes-minion-group-6fdx,1
20,front-end,kubernetes-minion-group-3sk9,1
21,payment,kubernetes-minion-group-6fdx,1
22,carts,kubernetes-minion-group-7k49,1
23,orders,kubernetes-minion-group-7k49,1
24,queue-master,kubernetes-minion-group-3sk9,1
25,shipping,kubernetes-minion-group-3sk9,1
