,timestamp,front-end_carts,orders_carts,front-end_catalogue,front-end_orders,orders_payment,orders_shipping,front-end_user,orders_user,carts_carts-db,carts-5fd657685b_carts-db-cfd5cfc74,catalogue_catalogue-db,catalogue-6786c4d99b_catalogue-db-7c6c54f454,orders_orders-db,orders-d99bfcf55_orders-db-57754d868b,queue-master_rabbitmq,shipping_rabbitmq,queue-master-56db5dfc67_rabbitmq-7d49f9f995,shipping-7d94dd67dd_rabbitmq-7d49f9f995,user_user-db,user-5f4b89b8cb_user-db-77bcd55dc4
0,2020-07-11 22:04:55,46.05263157894738,20.5,21.015625000000004,147.72727272727275,2.6470588235294112,7.5,12.410714285714286,7.625,0.0,0.0,589.7880928355197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-07-11 22:04:56,74.46808510638299,50.0,9.951923076923077,90.62500000000001,2.5,3.3823529411764706,13.571428571428573,6.470588235294118,71.61078431372549,0.0,469.77843137254905,0.0,8.76470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-07-11 22:04:57,31.944444444444443,5.833333333333334,16.428571428571427,75.00000000000001,3.333333333333333,2.5,8.951612903225808,7.25,0.2096114519427403,0.0,356.96625766871165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.28732106339469,0.0
3,2020-07-11 22:04:58,74.07407407407409,80.0,9.905660377358492,207.1428571428572,3.472222222222222,4.464285714285714,9.387755102040817,8.706896551724137,0.0,0.0,588.560120240481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-07-11 22:04:59,88.95348837209302,37.500000000000014,12.5,185.71428571428572,2.5,7.500000000000003,9.924242424242426,7.321428571428571,448.6723276723277,0.0,321.5064935064936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-07-11 22:05:00,56.25000000000001,22.0,15.5,50.0,2.7777777777777777,2.941176470588235,12.307692307692308,7.386363636363637,171.5934065934066,0.0,639.4785214785215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-07-11 22:05:01,24.454545454545457,29.687500000000004,11.935483870967742,70.3125,2.5,3.1666666666666665,9.722222222222223,6.590909090909091,0.0,0.0,358.7365269461078,0.0,0.20459081836327345,0.0,0.0,0.0,0.0,0.0,1196.8153692614771,0.0
7,2020-07-11 22:05:02,46.12068965517241,20.000000000000004,12.8125,83.33333333333334,2.5,3.333333333333333,14.714285714285715,7.352941176470588,28.47995991983968,0.0,499.4468937875751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-07-11 22:05:03,45.833333333333336,8.333333333333334,8.984375,75.00000000000001,2.5,7.5,15.15625,7.5,0.0,0.0,463.172,0.0,0.0,0.0,40.432,0.0,0.0,0.0,121.834,0.0
9,2020-07-11 22:05:04,24.0625,10.0,9.166666666666666,151.5625,2.5,3.8888888888888893,9.451219512195122,7.031249999999999,0.0,0.0,460.87787787787784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-07-11 22:05:05,22.091836734693878,20.312500000000004,7.1568627450980395,65.90909090909092,4.642857142857143,9.375000000000002,13.75,21.029411764705888,0.0,0.0,457.89710289710297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-07-11 22:05:06,25.462962962962965,6.500000000000001,14.852941176470589,58.333333333333336,2.8125,3.5526315789473686,12.790697674418604,7.916666666666667,89.9278350515464,0.0,0.0,0.0,8.828491096532334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-07-11 22:05:07,17.173913043478258,7.5,17.216981132075475,91.66666666666667,2.708333333333333,2.954545454545454,9.84848484848485,9.687500000000002,0.21972132904608788,0.0,659.7877813504823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.15326902465165,0.0
13,2020-07-11 22:05:08,16.290322580645164,3.9705882352941173,14.6875,40.90909090909091,3.0681818181818183,3.3750000000000004,9.65,7.016129032258065,0.0,0.0,512.5605605605606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-07-11 22:05:09,14.071428571428571,,8.432203389830509,55.00000000000001,,,10.642857142857144,,482.9780439121756,0.0,468.5898203592814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-07-11 22:05:10,21.8125,2.954545454545455,12.25,62.5,2.5,2.708333333333333,14.615384615384617,8.625,167.29540918163673,0.0,436.4311377245509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-07-11 22:05:11,18.03571428571429,4.6875,16.428571428571427,45.833333333333336,2.916666666666667,2.916666666666667,22.142857142857146,6.71875,0.0,0.0,411.1626506024096,0.0,0.20582329317269077,0.0,0.0,0.0,0.0,0.0,1174.3955823293172,0.0
17,2020-07-11 22:05:12,15.694444444444445,3.653846153846154,11.939655172413794,62.5,2.5,3.571428571428572,11.388888888888891,7.788461538461539,27.877450980392158,0.0,389.1539215686275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-07-11 22:05:13,17.5,3.0000000000000004,8.72549019607843,45.3125,2.5,2.5,15.204081632653063,5.588235294117647,0.0,0.0,461.510162601626,0.0,0.0,0.0,42.98170731707317,0.0,0.0,0.0,63.051829268292686,0.0
19,2020-07-11 22:05:14,18.571428571428573,2.7500000000000004,14.636363636363638,166.1764705882353,2.9166666666666665,3.125,14.438775510204081,9.107142857142858,0.0,0.0,342.83751253761284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
