,timestamp,front-end_carts,orders_carts,front-end_catalogue,front-end_orders,orders_payment,orders_shipping,front-end_user,orders_user,carts_carts-db,catalogue_catalogue-db,orders_orders-db,queue-master_rabbitmq,shipping_rabbitmq,user_user-db
0,2020-07-12 09:30:21,29.285714285714295,8.5,213.4677419354838,95.41666666666667,16.75,43.125,24.59756097560976,19.600000000000005,57.745745745745744,429.59059059059064,5.945945945945946,0.0,0.0,193.76576576576576
1,2020-07-12 09:30:22,47.22222222222223,,250.0,137.49999999999991,,,45.0,,0.0,385.2455089820359,0.0,0.0,0.0,0.0
2,2020-07-12 09:30:23,92.87878787878789,8.5,185.62499999999994,85.00000000000001,8.5,8.437499999999996,42.89473684210525,22.94444444444444,0.0,381.5175526579739,0.0,0.0,0.0,79.13540621865597
3,2020-07-12 09:30:24,24.630769230769232,19.749999999999993,157.1153846153845,79.99999999999999,67.49999999999999,8.249999999999996,39.02777777777777,21.25,169.058,429.621,0.0,0.0,0.0,0.0
4,2020-07-12 09:30:25,33.75,10.749999999999943,207.62499999999997,186.25000000000003,8.812499999999998,10.749999999999943,85.83333333333334,23.738636363636363,130.3060817547358,432.96311066799603,0.0,0.0,0.0,610.059820538385
5,2020-07-12 09:30:26,42.66666666666665,9.125000000000002,225.56451612903223,219.99999999999994,91.25000000000001,8.25,46.65178571428572,36.87499999999999,94.24612403100775,402.9428294573643,0.19864341085271317,0.0,0.0,107.26937984496124
6,2020-07-12 09:30:27,44.499999999999986,20.249999999999996,238.9473684210526,275.00000000000017,93.21428571428571,107.4999999999998,82.64705882352938,26.874999999999993,46.895445134575574,368.57971014492756,0.0,0.0,0.0,0.0
7,2020-07-12 09:30:28,23.90625,8.625,96.0,189.99999999999991,93.12500000000001,4.750000000000001,74.00000000000004,43.12499999999999,139.9049049049049,147.43043043043042,0.0,41.80380380380381,0.0,184.5265265265265
8,2020-07-12 09:30:29,46.42857142857143,,231.25,240.0,,,45.9375,,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-07-12 09:30:30,213.99999999999991,47.5,97.32758620689656,96.25,92.5,4.75,84.84374999999997,193.74999999999986,0.0,146.29889669007022,0.0,0.0,0.0,0.0
10,2020-07-12 09:30:31,198.75000000000003,92.5,210.99999999999997,242.50000000000003,95.625,9.333333333333334,91.0,231.25,98.93731343283582,100.53930348258707,7.761194029850747,0.0,0.007960199004975126,334.489552238806
11,2020-07-12 09:30:32,85.20833333333334,85.00000000000001,201.25000000000003,241.56249999999997,4.75,87.50000000000001,89.89999999999999,221.87500000000003,0.0,76.28470824949699,0.0,0.0,0.0,0.0
12,2020-07-12 09:30:33,229.19354838709677,15.99999999999999,237.81249999999997,480.8333333333333,213.99999999999997,94.99999999999997,235.375,53.750000000000064,0.0,473.11388611388617,0.0,0.0,0.0,116.66933066933068
13,2020-07-12 09:30:34,49.93055555555555,,204.37499999999991,48.59375000000001,,,73.75000000000006,,135.27127127127127,354.4824824824825,0.0,0.0,0.0,0.0
14,2020-07-12 09:30:35,81.00000000000001,9.59375,99.12499999999999,178.75000000000003,4.75,6.750000000000001,79.61538461538461,23.460526315789473,165.41858141858143,370.935064935065,0.0,0.0,0.0,606.3176823176824
15,2020-07-12 09:30:36,82.0,9.708333333333332,193.52941176470577,96.66666666666669,47.81250000000001,9.78125,91.50000000000001,24.562499999999996,87.5895895895896,486.5115115115115,0.20520520520520522,0.0,0.0,49.993993993993996
16,2020-07-12 09:30:37,44.48529411764705,9.458333333333332,95.10416666666667,201.24999999999994,4.75,83.74999999999999,79.58333333333333,20.125000000000004,23.039960039960043,354.32067932067935,0.0,0.0,0.0,0.0
17,2020-07-12 09:30:38,42.32142857142858,8.875,232.79411764705878,236.25,86.5,88.75,46.63461538461539,24.12019230769231,66.85,304.878,0.0,31.654,0.0,116.966
18,2020-07-12 09:30:39,37.884615384615365,,170.49999999999983,227.49999999999997,,,83.21428571428571,,0.0,418.849,0.0,0.0,0.0,0.0
19,2020-07-12 09:30:40,44.73684210526314,23.05,94.42307692307693,241.5625,83.74999999999999,93.5,48.91666666666666,45.56818181818182,0.0,469.99401794616153,0.0,0.0,0.0,0.0
20,2020-07-12 09:30:41,46.287878787878775,7.2499999999999964,206.93548387096766,222.1428571428571,36.249999999999986,72.49999999999997,94.16666666666664,45.416666666666664,61.374628344895946,427.18632309217054,8.146679881070368,0.0,0.0,360.72547076313185
21,2020-07-12 09:30:42,47.028301886792455,9.749999999999998,194.8529411764705,201.25,48.75,89.49999999999999,38.522727272727266,41.24999999999999,0.0,294.6660212971927,0.0,0.0,0.0,0.0
22,2020-07-12 09:30:43,85.9375,17.874999999999975,245.00000000000034,236.24999999999997,92.08333333333333,52.49999999999983,78.33333333333329,26.249999999999975,0.0,486.83036649214665,0.0,0.0,0.0,115.71937172774871
23,2020-07-12 09:30:44,43.08333333333332,19.749999999999996,305.3571428571428,178.75000000000009,4.75,73.74999999999999,64.28571428571429,41.24999999999998,226.364,291.705,0.0,0.0,0.0,0.0
24,2020-07-12 09:30:45,45.833333333333336,,111.78571428571439,242.5,,,80.66666666666666,,209.44455544455548,426.92007992007996,0.0,0.0,0.0,739.2637362637364
25,2020-07-12 09:30:46,44.347826086956516,10.749999999999943,201.2499999999999,233.92857142857142,90.49999999999999,88.12499999999999,78.54166666666667,24.509615384615383,17.805583250249256,385.8873379860419,0.20438683948155537,0.0,0.0,62.455633100697916
