,source,destination,weight
0,carts-5fd657685b,carts-db-cfd5cfc74,1
1,catalogue,catalogue-db,1
2,catalogue-6786c4d99b,catalogue-db-7c6c54f454,1
3,orders-d99bfcf55,orders-db-57754d868b,1
4,carts,carts-db,1
5,orders,orders-db,1
6,user,user-db,1
7,user-5f4b89b8cb,user-db-77bcd55dc4,1
8,orders,carts,1
9,front-end,carts,1
10,front-end,catalogue,1
11,unknown,front-end,1
12,front-end,orders,1
13,orders,payment,1
14,front-end,user,1
15,orders,user,1
16,orders,shipping,1
17,catalogue,kubernetes-minion-group-k2nz,1
18,orders,kubernetes-minion-group-kvcr,1
19,payment,kubernetes-minion-group-k2nz,1
20,shipping,kubernetes-minion-group-k2nz,1
21,carts-db,kubernetes-minion-group-r23j,1
22,orders-db,kubernetes-minion-group-kvcr,1
23,queue-master,kubernetes-minion-group-r23j,1
24,user-db,kubernetes-minion-group-kvcr,1
25,carts,kubernetes-minion-group-r23j,1
26,catalogue-db,kubernetes-minion-group-k2nz,1
27,rabbitmq,kubernetes-minion-group-r23j,1
28,front-end,kubernetes-minion-group-103j,1
29,user,kubernetes-minion-group-kvcr,1
