,source,destination,weight
0,carts,carts-db,1
1,carts-5fd657685b,carts-db-cfd5cfc74,1
2,catalogue,catalogue-db,1
3,catalogue-6786c4d99b,catalogue-db-7c6c54f454,1
4,orders-d99bfcf55,orders-db-57754d868b,1
5,orders,orders-db,1
6,user,user-db,1
7,user-5f4b89b8cb,user-db-77bcd55dc4,1
8,orders,carts,1
9,front-end,catalogue,1
10,unknown,front-end,1
11,front-end,orders,1
12,front-end,carts,1
13,orders,payment,1
14,orders,shipping,1
15,front-end,user,1
16,orders,user,1
17,carts,kubernetes-minion-group-r23j,1
18,catalogue,kubernetes-minion-group-k2nz,1
19,queue-master,kubernetes-minion-group-r23j,1
20,rabbitmq,kubernetes-minion-group-r23j,1
21,carts-db,kubernetes-minion-group-r23j,1
22,orders-db,kubernetes-minion-group-kvcr,1
23,user,kubernetes-minion-group-kvcr,1
24,catalogue-db,kubernetes-minion-group-k2nz,1
25,orders,kubernetes-minion-group-kvcr,1
26,payment,kubernetes-minion-group-k2nz,1
27,user-db,kubernetes-minion-group-kvcr,1
28,front-end,kubernetes-minion-group-103j,1
29,shipping,kubernetes-minion-group-k2nz,1
