,timestamp,front-end_carts,orders_carts,front-end_catalogue,unknown_front-end,front-end_orders,orders_payment,orders_shipping,front-end_user,orders_user
0,2020-05-11 09:49:20,93.83124556842355,9.872188789702381,147.37377961202117,554.5152082613675,20.94431212842936,9.908550442703126,9.872188789702381,76.5412795665691,29.634747195607517
1,2020-05-11 09:49:25,89.90745622806858,11.617970582353047,154.94263740659258,583.6257522590497,19.92691041981055,11.636152069962366,11.65433355757168,81.12579771276886,35.144815548808204
2,2020-05-11 09:49:30,81.34545454545454,13.436363636363636,161.4181818181818,598.1818181818181,17.49090909090909,13.509090909090908,13.363636363636363,82.49090909090908,40.05454545454545
3,2020-05-11 09:49:35,87.65454545454546,15.199999999999998,160.89090909090908,610.9090909090909,15.599999999999998,15.163636363636362,15.163636363636362,86.36363636363635,45.45454545454545
4,2020-05-11 09:49:40,92.17846623759137,15.944874731827932,159.81237045925602,614.5231082506092,16.817570270171995,16.708483327878987,16.79938911312316,89.48765499436384,46.63466783026072
5,2020-05-11 09:49:45,92.43636363636364,16.818181818181817,159.83636363636364,616.3636363636364,18.49090909090909,16.636363636363637,16.636363636363637,96.01818181818182,50.309090909090905
6,2020-05-11 09:49:50,93.01818181818182,18.454545454545453,158.69090909090906,614.5454545454545,18.509090909090908,18.49090909090909,18.509090909090908,100.05454545454545,55.781818181818174
7,2020-05-11 09:49:55,93.8,18.38181818181818,159.23636363636362,616.3636363636361,18.436363636363634,18.4,18.4,101.85454545454544,55.70909090909091
8,2020-05-11 09:50:00,94.41989854360989,18.473063146602666,159.3665339369807,616.3748431789668,19.30944198985436,19.327624138620703,19.363988436153384,101.85639738904344,55.437371588574344
9,2020-05-11 09:50:05,94.83636363636363,19.18181818181818,156.9090909090909,616.3636363636363,19.145454545454545,19.454545454545453,19.145454545454545,104.07272727272726,57.79999999999999
10,2020-05-11 09:50:10,94.10566888476782,19.326569942911167,157.26700847241918,618.1593396603761,18.926584487836806,18.90840333078797,18.926584487836806,104.10530526162685,57.32518817497545
11,2020-05-11 09:50:15,95.93250540938597,19.110133279997093,159.71780278924305,618.2155390294016,18.946487990254013,18.910122370311107,19.073767660054184,104.09658708656836,57.36676545993418
12,2020-05-11 09:50:20,95.0,18.98181818181818,159.76363636363638,618.1818181818181,18.98181818181818,19.036363636363635,19.018181818181816,103.03636363636363,56.672727272727265
13,2020-05-11 09:50:25,94.92727272727272,18.945454545454545,158.2181818181818,618.181818181818,18.854545454545455,18.927272727272726,19.07272727272727,103.32727272727271,56.672727272727265
14,2020-05-11 09:50:30,94.30737622952309,18.781476700423628,158.8516572425956,614.5342811948872,18.817839675642258,19.10874347739132,18.945110088907473,103.59811639788367,56.96260067998764
15,2020-05-11 09:50:35,94.40343285210373,18.78250118186116,159.551256409324,614.5678024655442,18.891596058038477,19.000690934215793,18.90977853740136,103.31284773991781,56.547510818575226
16,2020-05-11 09:50:40,94.92382095196538,19.09021490127632,159.0123995491073,612.7049925457256,19.035671430129813,19.072033744227483,19.072033744227483,102.94171121050144,57.107014290389436
17,2020-05-11 09:50:45,96.25279540371993,19.36328430392175,159.6334612097962,618.1705787167506,19.017836039344736,19.03601752695405,19.017836039344736,102.92540135633898,56.708059853457215
18,2020-05-11 09:50:50,94.68746591033053,19.14475837242282,158.5942329369841,616.3412239554925,19.072033744227483,19.10839605832515,19.10839605832515,103.35987782262464,56.852478091705756
19,2020-05-11 09:50:55,94.52555408083488,19.145106452609955,160.92434683005766,618.1705787167507,19.072380502172688,19.126924965000637,19.054199014563373,104.21628697660043,57.45350084543917
20,2020-05-11 09:51:00,94.07272727272726,19.07272727272727,159.9090909090909,616.3636363636363,19.27272727272727,19.10909090909091,19.29090909090909,104.07272727272726,57.32727272727273
21,2020-05-11 09:51:05,95.24761835502872,19.107701258090323,160.58832084939277,616.3188131772235,19.598574649116426,19.489491673332846,19.634935641044287,104.31968584102974,57.77761617336921
22,2020-05-11 09:51:10,95.72978967078114,19.415004817393516,159.61024559617516,616.2627933610864,19.124143322001853,19.124143322001853,19.01507026122998,104.91010561908051,58.1177625479467
23,2020-05-11 09:51:15,96.14545454545454,19.527272727272724,158.67272727272726,616.3636363636363,19.254545454545454,19.436363636363634,19.18181818181818,105.65454545454546,58.309090909090905
24,2020-05-11 09:51:20,94.48919110561626,19.199650915437903,158.760749804549,616.3524299558189,19.236013890656533,19.145106452609955,19.145106452609955,106.16170615079726,58.50802712677952
25,2020-05-11 09:51:25,96.12902052764596,19.41853488245241,155.9664721176749,610.9201985490645,19.509445626284116,19.12762050219095,19.236713394788996,105.03827342315316,57.819233076965034
26,2020-05-11 09:51:30,95.56189887456591,19.381465791531063,153.0153997200051,603.6253886292976,19.49055471718696,19.54509918001491,19.49055471718696,104.83445755531717,57.83531208523481
27,2020-05-11 09:51:35,95.78530128368305,19.309793083384854,148.9508709407615,600.0218189752355,19.218880686570422,19.291610604021965,19.218880686570422,105.53111022218991,58.22029891996073
28,2020-05-11 09:51:40,95.5653739158894,19.218531246022657,145.2571864942999,590.9198349060891,19.473081328751434,19.25489554355534,19.12762050219095,104.65644829905999,57.65559373806797
29,2020-05-11 09:51:45,95.89439615986036,19.05523837230445,143.132477544638,585.4758354849267,19.09160333103022,19.09160333103022,19.073420851667333,104.73108113022293,57.529364704171066
30,2020-05-11 09:51:50,95.78181818181817,19.054545454545455,138.54545454545453,576.3636363636364,19.036363636363635,19.145454545454545,18.854545454545455,104.49090909090908,57.563636363636355
