,source,destination,weight
0,user,user-db,1
1,carts,carts-db,1
2,catalogue,catalogue-db,1
3,orders,orders-db,1
4,unknown,front-end,1
5,front-end,orders,1
6,orders,payment,1
7,orders,user,1
8,front-end,carts,1
9,front-end,catalogue,1
10,front-end,user,1
11,orders,carts,1
12,orders,shipping,1
13,front-end,kubernetes-minion-group-3sk9,1
14,user,kubernetes-minion-group-6fdx,1
15,carts,kubernetes-minion-group-7k49,1
16,carts-db,kubernetes-minion-group-5rnc,1
17,catalogue-db,kubernetes-minion-group-6fdx,1
18,queue-master,kubernetes-minion-group-7k49,1
19,orders-db,kubernetes-minion-group-6fdx,1
20,rabbitmq,kubernetes-minion-group-5rnc,1
21,payment,kubernetes-minion-group-6fdx,1
22,shipping,kubernetes-minion-group-5rnc,1
23,user-db,kubernetes-minion-group-7k49,1
24,catalogue,kubernetes-minion-group-6fdx,1
25,orders,kubernetes-minion-group-7k49,1
