,source,destination,weight
0,catalogue,catalogue-db,1
1,orders,orders-db,1
2,user,user-db,1
3,carts,carts-db,1
4,orders,carts,1
5,front-end,carts,1
6,front-end,orders,1
7,front-end,user,1
8,orders,user,1
9,front-end,catalogue,1
10,unknown,front-end,1
11,orders,payment,1
12,orders,shipping,1
13,user-db,kubernetes-minion-group-kvcr,1
14,rabbitmq,kubernetes-minion-group-r23j,1
15,catalogue-db,kubernetes-minion-group-k2nz,1
16,orders,kubernetes-minion-group-kvcr,1
17,payment,kubernetes-minion-group-k2nz,1
18,orders-db,kubernetes-minion-group-kvcr,1
19,user,kubernetes-minion-group-kvcr,1
20,carts,kubernetes-minion-group-r23j,1
21,carts-db,kubernetes-minion-group-r23j,1
22,front-end,kubernetes-minion-group-103j,1
23,catalogue,kubernetes-minion-group-k2nz,1
24,queue-master,kubernetes-minion-group-r23j,1
25,shipping,kubernetes-minion-group-k2nz,1
