,source,destination,weight
0,orders,orders-db,1
1,user,user-db,1
2,carts,carts-db,1
3,catalogue,catalogue-db,1
4,unknown,front-end,1
5,orders,payment,1
6,front-end,user,1
7,orders,carts,1
8,front-end,carts,1
9,orders,shipping,1
10,orders,user,1
11,front-end,catalogue,1
12,front-end,orders,1
13,carts,kubernetes-minion-group-7k49,1
14,catalogue,kubernetes-minion-group-6fdx,1
15,user-db,kubernetes-minion-group-7k49,1
16,carts-db,kubernetes-minion-group-5rnc,1
17,payment,kubernetes-minion-group-6fdx,1
18,user,kubernetes-minion-group-6fdx,1
19,catalogue-db,kubernetes-minion-group-6fdx,1
20,front-end,kubernetes-minion-group-3sk9,1
21,orders,kubernetes-minion-group-7k49,1
22,orders-db,kubernetes-minion-group-6fdx,1
23,queue-master,kubernetes-minion-group-7k49,1
24,rabbitmq,kubernetes-minion-group-5rnc,1
25,shipping,kubernetes-minion-group-5rnc,1
